Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7, C8",C_0603,5,100nF_0603_16V,C14663
"C147, C148, C149, C150",C_0402,4,180pF_0402_25V,C106999
"C152, C153",C_0402,2,820pF_0402_10v,C565563
C3,C_0805,1,10uF_0805_25V,C15850
"C4, C5",CP_Elec_5x5.3,2,47uF_5x5.3_16V,C134798
"C41, C45",C_0402,2,100nF_0402_16V,C1525
"C42, C48",C_0603,2,220pF_0603_25V,C1603
C44,C_0805,1,22uF_0805_25V,C45783
"C46, C49, C52",C_0603,3,2.2uF_0603_25V,C57895
C51,C_0603,1,10uF_0603_10V,C19702
"C71, C72, C75, C76, C77, C78",C_0402,6,100nF_0402_50V,C307331
"C81, C98",C_0603,2,10nF_0603_25V,C57112
"D1, D7",SOT23-3_PO132,2,BAT54S,C83574
"D2, D3",D_SOD-123,2,B140HW-7,C134429
J1,USB_C_Receptacle_Molex_2171790001,1,USB-C_Receptacle_Molex_2171790001,C2894899
"J10, J11, J12, J13, J5, J9",EighthInch_PJ398SM,6,3.5mm_Mono_Switched_sm,
"J4, J6",Connector-80socket-P0.4mm-W3.0mm,2,Socket_02x40_P0.4mm_W3.0mm_SMT,C2858577
J7,Pins_2x08_2.54mm_TH_EurorackPower,1,Eurorack_Power_16pin_Unshrouded,
POT1,Pot_9mm_Knurl_NoDet,1,9mm_NoDet_100k_Knurled_Lined,
"R1, R2",R_0603,2,68Ω_0603,C126362
"R10, R14, R158, R159, R162, R163, R6, R7",R_0402,8,10k_0402,C60490
"R13, R5",R_0603,2,47k_0603,C105579
"R152, R153, R44, R52, R54, R55",R_0402,6,1k_0402,C106235
"R157, R160, R161, R164",R_0402,4,24k_0402,C138026
"R3, R4",R_0603,2,5.1k_0603,C105580
"R42, R50",R_0402,2,14k_0402,C327372
"R43, R51",R_0402,2,100k_0402,C60491
"R47, R48",R_0402,2,4.7k_0402,C105871
"R49, R53",R_0402,2,1M_0402,C138033
R8,R_0603,1,100k_0603,C14675
"U1, U11, U12, U8",TSSOP-8_4.4x3mm_Pitch0.65mm,4,TL072H,C4370341
U9,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM3060PW,C2651841
V1,SOT23-3_PO132,1,AP2120N-5.0TRG1,C50754
