Designator,Mid X,Mid Y,Rotation,Layer
C1,-20.750887,5.744878,270.0,top
C10,61.42,10.14,270.0,top
C147,29.96,-37.64,90.0,top
C148,32.895,-36.525,180.0,top
C149,23.4,-34.66,270.0,top
C150,26.23,-39.425,180.0,top
C152,32.945,-33.505,0.0,top
C153,25.57,-32.36,0.0,top
C2,-14.720887,5.834878,90.0,top
C3,5.63,-18.3675,270.0,top
C4,10.74,-27.63,90.0,top
C41,40.078066,-17.095001,180.0,top
C42,39.518308,-31.453477,0.0,top
C44,40.85,-26.39,0.0,top
C45,40.655,-27.83,0.0,top
C46,42.47944,-39.003477,270.0,top
C48,46.86944,-32.053486,0.0,top
C49,33.435648,-24.876552,0.0,top
C5,10.74,-35.82,90.0,top
C51,33.445,-19.67,180.0,top
C52,44.46,-33.0,270.0,top
C6,15.98,-27.75,270.0,top
C7,16.26,-35.83,90.0,top
C70,59.69,14.08,90.0,top
C71,37.238308,-35.803477,270.0,top
C72,37.21944,-37.813477,90.0,top
C75,44.8,-35.629286,270.0,top
C76,44.81,-38.339286,90.0,top
C77,27.91,-32.26,180.0,top
C78,26.96,-37.27,0.0,top
C79,56.6,14.6,0.0,top
C8,-19.000887,11.214878,180.0,top
C81,-8.38,-40.05,270.0,top
C9,59.96,19.25,270.0,top
C98,-20.320887,-0.545122,0.0,top
D1,-16.7,-39.35,0.0,top
D2,4.88,-26.67,180.0,top
D3,5.13,-36.94,0.0,top
D7,-13.11,-39.37,0.0,top
J1,57.47,27.195,180.0,top
J10,36.733333,-49.4794,270.0,bottom
J11,49.44,-49.4794,270.0,bottom
J12,11.32,-49.4794,270.0,bottom
J13,24.026667,-49.4794,270.0,bottom
J4,-2.230887,9.851578,180.0,top
J5,-12.35,-49.5064,270.0,bottom
J6,47.769113,11.844878,180.0,top
J7,-1.3,-27.87,0.0,top
J9,-0.73,-49.5194,270.0,bottom
L1,61.17,15.33,270.0,top
POT1,-17.885413,16.815578,180.0,bottom
R1,-15.070887,10.264878,90.0,top
R10,25.018328,-30.85,270.0,top
R13,-10.17,-39.9,90.0,top
R14,26.07,-30.88,270.0,top
R152,28.885,-37.64,90.0,top
R153,22.95,-33.13,0.0,top
R157,29.605,-31.8,270.0,top
R158,32.955,-34.525,0.0,top
R159,32.92,-35.525,0.0,top
R160,32.905,-31.85,270.0,top
R161,22.36,-34.65,270.0,top
R162,22.96,-36.38,180.0,top
R163,24.99,-37.18,0.0,top
R164,26.26,-38.41,180.0,top
R2,-16.440887,1.284878,0.0,top
R42,40.112492,-30.110568,0.0,top
R43,42.12944,-34.523477,270.0,top
R44,38.63944,-40.808477,180.0,top
R47,46.31,-15.85,0.0,top
R48,46.34,-14.61,0.0,top
R49,40.60444,-40.828477,0.0,top
R5,-19.47,-39.46,90.0,top
R50,46.88944,-30.693486,0.0,top
R51,47.00944,-29.423486,180.0,top
R52,46.17,-41.56,180.0,top
R53,48.14,-41.57,0.0,top
R54,44.98944,-29.393477,0.0,top
R55,40.14944,-28.863477,180.0,top
R6,30.73,-31.8,270.0,top
R7,31.83,-31.8,270.0,top
R8,-20.830887,2.084878,90.0,top
U1,-17.820887,6.414878,180.0,top
U11,47.16444,-36.873486,0.0,top
U12,27.93,-34.75,270.0,top
U14,58.67,11.38,270.0,top
U3,56.41,19.21,0.0,top
U8,39.72944,-36.303477,0.0,top
U9,40.313066,-21.53,180.0,top
V1,33.135,-22.25,90.0,top
