Designator,Mid X,Mid Y,Rotation,Layer
C10,-197.56,147.74,270.0,top
C11,-185.365,150.21,90.0,top
C12,-192.188,154.369,270.0,top
C147,-187.78,62.25,180.0,top
C148,-192.145,62.07,0.0,top
C149,-186.803353,71.177233,180.0,top
C150,-190.925,71.28,0.0,top
C152,-189.86,60.25,180.0,top
C153,-188.89,73.27,180.0,top
C3,-184.385,150.2,270.0,top
C4,-167.27,150.44,0.0,top
C41,-177.371934,83.204799,180.0,top
C42,-177.931692,68.846323,0.0,top
C44,-176.6,73.9098,0.0,top
C45,-176.795,72.4698,0.0,top
C46,-180.4,62.0,270.0,top
C48,-170.58056,68.246314,0.0,top
C49,-185.42,76.2398,0.0,top
C5,-175.39,150.4,0.0,top
C51,-183.32,78.8298,270.0,top
C52,-172.92,65.16,270.0,top
C6,-167.99,146.56,180.0,top
C7,-175.34,146.65,0.0,top
C71,-175.35,64.7,270.0,top
C72,-175.36,62.83,90.0,top
C73,-186.898,154.979,180.0,top
C74,-183.018,155.24501,0.0,top
C75,-167.9,64.49,270.0,top
C76,-167.91,62.6,90.0,top
C77,-190.8,66.74,90.0,top
C78,-190.79,68.695,270.0,top
C79,-202.38,152.2,0.0,top
C9,-199.02,156.85,270.0,top
D2,-166.37,155.99,180.0,top
D3,-176.06,155.74,180.0,top
J1,-201.51,164.795,180.0,top
J10,-180.716667,50.8204,270.0,bottom
J11,-168.01,50.8204,270.0,bottom
J12,-206.13,50.8204,270.0,bottom
J13,-193.423333,50.8204,270.0,bottom
J2,-171.3,163.18,270.0,top
J3,-164.21457,123.15627,0.0,top
J4,-214.215,121.19,0.0,top
J6,-228.306,115.054,0.0,top
J7,-150.288,115.456,0.0,top
L1,-197.81,152.93,90.0,top
L5,-188.607,151.455,90.0,top
R1,-205.24,151.18,270.0,top
R10,-187.29,73.72,270.0,top
R14,-188.91,74.37,180.0,top
R152,-187.36,56.75,90.0,top
R153,-206.22,59.58,90.0,top
R157,-187.81,61.26,180.0,top
R158,-189.33,61.77,270.0,top
R159,-190.41,61.76,270.0,top
R160,-192.15,61.13,0.0,top
R161,-186.8,72.19,180.0,top
R162,-188.32,71.75,90.0,top
R163,-189.38,71.75,90.0,top
R164,-190.925,72.22031,0.0,top
R2,-206.29,151.67,270.0,top
R3,-202.92,144.435,90.0,top
R35,-182.865,150.34,0.0,top
R36,-182.875,149.33,180.0,top
R42,-177.337508,70.189232,0.0,top
R43,-180.16,64.61,270.0,top
R44,-177.82,59.55,180.0,top
R47,-172.98,87.48,0.0,top
R48,-172.98,88.585,180.0,top
R49,-175.835,59.56,0.0,top
R50,-170.56056,69.606314,0.0,top
R51,-170.44056,70.876314,180.0,top
R52,-167.48,59.52,0.0,top
R53,-167.475,60.585,0.0,top
R54,-172.46056,70.906323,0.0,top
R55,-177.30056,71.436323,180.0,top
R6,-187.811942,60.21,180.0,top
R7,-188.36,59.08,180.0,top
U11,-170.28556,63.426314,0.0,top
U12,-188.43,66.76,180.0,top
U13,-184.728,152.607,270.0,top
U14,-200.31,148.98,270.0,top
U3,-202.57,156.81,0.0,top
U8,-177.72056,63.996323,0.0,top
U9,-177.136934,78.7698,180.0,top
V1,-185.720648,78.866352,90.0,top
