Designator,Mid X,Mid Y,Rotation,Layer
C1,71.600000,151.930000,180.000000,top
C2,66.060000,155.210000,90.000000,top
C3,90.845000,53.352000,0.000000,top
C4,97.540000,27.990000,-90.000000,top
C6,101.420000,27.270000,-90.000000,top
C9,51.840000,65.325000,90.000000,top
C10,50.380000,74.435000,90.000000,top
C11,90.835000,52.372000,180.000000,top
C12,86.676000,45.549000,0.000000,top
C73,85.940000,48.100000,90.000000,top
C74,85.799990,54.719000,90.000000,top
C79,55.200000,69.975000,180.000000,top
D2,91.990000,28.890000,-90.000000,top
J1,55.870000,3.380000,0.000000,top
J2,85.290000,24.240000,0.000000,top
J3,46.367200,99.854400,0.000000,top
J4,96.375430,101.836270,0.000000,top
J5,56.820000,138.410000,-90.000000,top
J6,25.490000,105.850000,0.000000,top
J7,109.032000,143.666000,0.000000,top
J8,78.407900,119.822100,0.000000,top
J11,88.310000,162.180000,0.000000,top
JP11,65.440000,66.760000,0.000000,top
JP12,59.720000,74.775000,0.000000,top
JP13,61.260000,73.225000,0.000000,top
JP14,60.720000,70.500000,90.000000,top
JP15,62.190000,68.080000,0.000000,top
JP16,57.950000,75.955000,0.000000,top
JP17,50.540000,91.170000,0.000000,top
JP18,43.310000,91.490000,180.000000,top
JP19,50.520000,92.300000,0.000000,top
JP20,43.340000,92.640000,180.000000,top
JP21,51.045000,108.485000,180.000000,top
JP22,51.045000,107.200000,180.000000,top
L1,50.630000,69.245000,-90.000000,top
L2,73.140000,155.310000,90.000000,top
L5,89.590000,49.130000,180.000000,top
R1,58.060000,70.995000,90.000000,top
R2,59.110000,70.505000,90.000000,top
R3,55.740000,77.740000,-90.000000,top
R4,60.854600,147.745600,180.000000,top
R5,60.754600,146.115600,180.000000,top
R8,60.724600,144.445600,180.000000,top
R9,68.285000,159.705000,0.000000,top
R11,68.290000,158.615000,180.000000,top
R35,90.705000,54.872000,90.000000,top
R36,91.715000,54.862000,-90.000000,top
U3,55.390000,65.365000,180.000000,top
U6,69.700000,155.312500,-90.000000,top
U13,88.438000,53.009000,0.000000,top
U14,53.130000,73.195000,180.000000,top
