Designator,Footprint,Quantity,Value,LCSC Part #
"J3,J4","4ms_Connector_Card:mp153-devboard-sockets_A,4ms_Connector_Card:mp153-devboard-sockets_B","2","","C2858577"
"C3,C11","4ms_Capacitor:C_0402","2","100nF_0402_50V","C1525"
"C1","4ms_Capacitor:C_0603","1","10uF_0603_10V","C19702"
"C6","4ms_Capacitor:C_0603","1","100nF_0603_16V","C14663"
"C12,C73,C79","4ms_Capacitor:C_0603","3","22uF_0603_6.3V","C59461"
"C9,C10","4ms_Capacitor:C_0805","2","10uF_0805_16V_lowESR","C190442"
"C74","4ms_Capacitor:C_1206","1","22uF_0805_25V","C12891"
"C2","4ms_Capacitor:C_1210","1","10uF_1210_35V","C172721"
"C4","4ms_Capacitor:CP_Elec_5x5.3","1","47uF_5x5.3_16V","C134798"
"J5","4ms_Connector:FPC_30pin_FPC-05FB-30PH20","1","Conn_01x30_FPC_ER-TFT050-10","C2856833"
"J2","4ms_Connector:Pins_2x05_2.54mm_TH_EurorackPower_Shrouded","1","Eurorack_Power_10pin_Shrouded",""
"J6,J7","4ms_Connector:Pins_2x40_P2.54mm_TH","2","Pins_02x40_P2.54mm_TH",""
"J1","4ms_Connector:USB_C_Receptacle_Molex_2171790001","1","USB-C_Receptacle_Molex_2171790001","C2894899"
"J8","4ms_Connector_Card:mp153-devboard-sockets_C","1","~","C3651056"
"D2","4ms_Diode:D_SOD-123","1","B140HW-7","C134429"
"L5","4ms_Inductor:COIL_5040","1","15uH_1A_5040","C222950"
"U14","4ms_Package_QFP:DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1","AP2411SN","C2149815"
"U13","4ms_Package_SOT:SOT-563","1","AP6230xZ6","C1880992"
"R1,R2,R3,R36","4ms_Resistor:R_0402","4","10k_0402","C60490"
"R9","4ms_Resistor:R_0402","1","1M_0402","C138033"
"R11","4ms_Resistor:R_0402","1","24.3k_0402","C276264"
"R35","4ms_Resistor:R_0402","1","52.3k_0402","C276275"
"L1","4ms_Resistor:R_0603","1","FerriteBead_0603_0.8A_300mΩ","C76814"
"R4,R5,R8","4ms_Resistor:R_0603","3","150Ω_0603","C114608"
"L2","4ms_Resistor:R_0805_2012Metric","1","10uH_0805_0.5A","C88182"
"JP11,JP12,JP13,JP14,JP15,JP16,JP17,JP18,JP19,JP20,JP21,JP22","4ms_SolderJumper:JUMPER_SMD_1x2_tiny","12","SolderJumper_2_Open",""
"J11","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical","1","Conn_02x15_Odd_Even",""
"U3","Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","1","FUSB302BMPX","C132291"
"U6","Package_TO_SOT_SMD:SOT-23-6","1","TLV61046ADB","C464815"
