"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"A1","B13","PB0","I/O","SPI2_SCK","","","","I2S2_CK/SPI2_SCK","","","","USART1_CK","TIM16_CH1","TIM20_CH4N","","OCTOSPIM_P2_IO0","","","","","/PB0"
"A3","AE16","PH7","I/O","TIM17_CH1","","","","I2S1_SDO/SPI1_MOSI","","UART4_TX","","UART7_DE/UART7_RTS","TIM17_CH1","","TIM5_CH4","I2C7_SDA","","","","ETH3_RGMII_RXD2","/PH7"
"A5","A14","PB2","I/O","SPI2_MOSI","","","","I2S2_SDO/SPI2_MOSI","","","MDF1_CKI3","TIM17_BKIN","TIM16_BKIN","TIM20_CH2N","","OCTOSPIM_P2_IO2","","","","","/PB2"
"A7","B21","PE4","I/O","SDMMC1_D0","","DEBUG_TRACED0","LPTIM2_IN1","I2S1_SDO/SPI1_MOSI","I2S3_SDI/SPI3_MISO","SAI1_SD_B","","USART3_CTS/USART3_NSS","FDCAN1_TX","","","SDMMC1_D0","","","","","/SDMMC_D0"
"A9","C22","PE5","I/O","SDMMC1_D1","","DEBUG_TRACED1","LPTIM2_IN2","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SAI1_FS_B","","USART3_DE/USART3_RTS","FDCAN1_RX","","","SDMMC1_D1","","","","","/SDMMC_D1"
"A11","A11","PB11","I/O","TIM12_CH2","","","I2S3_MCK","","","","","USART1_CTS/USART1_NSS","FDCAN1_RX","TIM20_BKIN2","TIM12_CH2","OCTOSPIM_P2_NCLK","OCTOSPIM_P2_NCS2","FMC_D14/FMC_DA14","OCTOSPIM_P1_NCS2","","/PB11"
"A13","B19","PE0","I/O","SDMMC1_D2","","DEBUG_TRACED2","LPTIM2_CH1","I2S1_CK/SPI1_SCK","SPI3_RDY","","","USART3_CK","","","","SDMMC1_D2","","","","","/SDMMC_D2"
"A15","C19","PE1","I/O","SDMMC1_D3","","DEBUG_TRACED3","LPTIM2_CH2","I2S1_MCK","I2S3_MCK","","","USART3_RX","","","","SDMMC1_D3","","","","","/SDMMC_D3"
"A17","C20","PE2","I/O","SDMMC1_CMD","","","LPTIM2_ETR","I2S1_SDI/SPI1_MISO","I2S3_SDO/SPI3_MOSI","SAI1_SCK_B","","","","TIM10_CH1","","SDMMC1_CMD","","","","","/SDMMC_CMD"
"A19","C21","PE3","I/O","SDMMC1_CK","","DEBUG_TRACECLK","","SPI1_RDY","I2S3_CK/SPI3_SCK","SAI1_MCLK_B","","USART3_TX","","TIM11_CH1","","SDMMC1_CK","","","","","/SDMMC_CLK"
"A21","A1","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A23","","+5V","","","","","","","","","","","","","","","","","","","+5V"
"A25","","+5V","","","","","","","","","","","","","","","","","","","+5V"
"A27","","+5V","","","","","","","","","","","","","","","","","","","+5V"
"A29","","+5V","","","","","","","","","","","","","","","","","","","+5V"
"A31","A2","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A33","A27","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A35","C6","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A37","C10","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A39","A23","PE9","Input","GPIO_Input","","","SPI4_MISO","","SAI4_D2","SAI4_FS_A","","USART1_CK","","TIM1_CH4","","","FMC_D0/FMC_DA0","SDMMC2_D5","SDMMC2_CDIR","","/PE9"
"A41","D12","PD2","I/O","SPI1_NSS","","","HDP_HDP2","I2S1_WS/SPI1_NSS","SAI1_CK1","","SAI4_SCK_A","UART7_CTS","TIM15_BKIN","TIM1_ETR","FDCAN3_TX","OCTOSPIM_P1_DQS","OCTOSPIM_P1_NCS2","","DCMIPP_VSYNC/DCMI_VSYNC/PSSI_RDY","","/PD2"
"A43","B25","PE14","I/O","SAI1_MCLK_A","","","","SPI7_NSS","","SAI1_MCLK_A","MDF1_CKI6","","TIM15_BKIN","TIM1_BKIN","","","FMC_NWE","SDMMC2_CK","","","/SAI1_MCLK"
"A45","B23","PE11","I/O","SAI1_FS_A","","","","SPI7_SCK","SAI4_D3","SAI1_FS_A","","","TIM15_CH2","TIM1_CH3N","","","FMC_A16/FMC_CLE","SDMMC2_D1","","","/SAI1_FS"
"A47","D24","PE15","I/O","SAI1_SCK_A","","","","SPI7_MOSI","","SAI1_SCK_A","MDF1_SDI6","","TIM15_CH1N","TIM1_CH1N","","","FMC_NOE","SDMMC2_CMD","","","/SAI1_SCK"
"A49","C24","PE13","I/O","SAI1_SD_A","","","","SPI7_MISO","","SAI1_SD_A","","","TIM15_CH1","TIM1_CH2N","","","FMC_RNB","SDMMC2_D0","","","/SAI1_SD_A"
"A51","A26","PB13","I/O","SAI1_SD_B","","","","SPI7_SCK","","SAI1_SD_B","UART8_RX","","","","","SDMMC3_CK","FMC_D5/FMC_DA5","FMC_D0/FMC_DA0","","","/SAI1_SD_B"
"A53","E7","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A55","C14","PB5","I/O","I2C2_SCL","","","","I2S2_MCK","UART4_DE/UART4_RTS","SAI4_SD_B","MDF1_CKI4","","","TIM20_CH1","I2C2_SCL","OCTOSPIM_P2_IO5","","FMC_D8/FMC_DA8","I3C2_SCL","SDMMC3_D123DIR","/PB5"
"A57","B15","PB4","I/O","I2C2_SDA","","","","SPI2_RDY","UART4_CTS","SAI4_FS_B","MDF1_SDI4","TIM14_CH1","","TIM20_CH2","I2C2_SDA","OCTOSPIM_P2_IO4","","","I3C2_SDA","","/PB4"
"A59","C17","PD10","I/O","I2C4_SDA","","DEBUG_TRACED6","HDP_HDP7","","SAI1_SCK_A","UART4_RX","MDF1_SDI0","I2C4_SDA","","TIM1_CH2","TIM14_CH1","OCTOSPIM_P1_IO6","SDMMC1_D5","SDMMC1_CDIR","DCMIPP_D8/DCMI_D8/PSSI_D8","","/I2C4_SDA"
"A61","A15","PD11","I/O","I2C4_SCL","","DEBUG_TRACED7","","I2S1_CK/SPI1_SCK","SAI1_MCLK_A","UART4_TX","MDF1_CKI0","I2C4_SCL","","TIM1_CH1","","OCTOSPIM_P1_IO7","SDMMC1_D4","SDMMC1_CKIN","DCMIPP_D7/DCMI_D7/PSSI_D7","","/I2C4_SCL"
"A63","D25","PD13","I/O","","","","","I2S2_WS/SPI2_NSS","","","MDF1_SDI7","UART9_TX","","","TIM4_CH4","SDMMC3_D1","FMC_D11/FMC_DA11","FMC_NWE","","","/PD13"
"A65","","+3V3","","","","","","","","","","","","","","","","","","","+3V3"
"A67","","+3V3","","","","","","","","","","","","","","","","","","","+3V3"
"A69","F3","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A71","","USB_VBUS_JACK","","","","","","","","","","","","","","","","","","","/USB_VBUS_JACK"
"A73","F12","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"A75","AG22","USB3DR_DM","MonoIO","USB3DR_DM","","","","","","","","","","","","","","","","","/USB3_DP"
"A77","AF22","USB3DR_DP","MonoIO","USB3DR_DP","","","","","","","","","","","","","","","","","/USB3_DN"
"A79","F14","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"B1","AE8","PF9","I/O","SAI2_SD_A","","","","","SAI3_SD_B","SAI2_SD_A","MDF1_SDI5","UART8_DE/UART8_RTS","TIM2_CH2","","","ETH2_MII_RXD2/ETH2_RGMII_RXD2","ETH2_MDIO","","","","/PF9"
"B3","AD16","PH8","I/O","TIM5_CH1","","","","I2S1_SDI/SPI1_MISO","SPDIFRX_IN3","UART4_RX","","UART7_CTS","","","TIM5_CH1","I2C3_SMBA","I2C5_SMBA","","","ETH3_RGMII_RXD3","/PH8"
"B5","C13","PB6","I/O","UART4_RX","","","","I2S2_SDI/SPI2_MISO","UART4_RX","SAI4_SCK_B","","","","TIM20_CH1N","","OCTOSPIM_P2_IO6","","FMC_D9/FMC_DA9","","SDMMC3_D0DIR","/PB6"
"B7","AE11","PF1","I/O","GPIO_Analog","","","SPI8_MISO","LPTIM2_IN2","","SAI4_SCK_B","MDF1_CKI4","USART2_CK","","","","ETH1_MII_RXD0/ETH1_RGMII_RXD0/ETH1_RMII_RXD0","","","","","/PF1"
"B9","AD10","PC5","I/O","ADC1_INP10","","","","SPDIFRX_IN1","","","MDF1_SDI1","","","TIM8_CH1N","I2C4_SDA","ETH2_MDIO","ETH1_MII_COL","FMC_A25","ETH1_PPS_OUT","LTDC_DE","/ADC1_CH10"
"B11","AG9","PC8","I/O","SPI6_NSS","","","LPTIM1_ETR","","SPI6_NSS","SAI3_SCK_B","","USART6_CTS/USART6_NSS","","TIM8_CH2","","ETH2_MII_TXD1/ETH2_RGMII_TXD1/ETH2_RMII_TXD1","ETH1_MII_TXD3","","LTDC_B3","DCMIPP_D2/DCMI_D2/PSSI_D2","/PC8"
"B13","AF10","PF4","I/O","TIM4_CH4","","","RTC_OUT2","SPI6_NSS","","SAI3_SCK_A","","USART6_RX","TIM4_CH4","ETH1_MDC","ETH2_CLK","ETH2_PPS_OUT","ETH1_PPS_OUT","","LTDC_B7","","/PF4"
"B15","AC13","PA12","I/O","SPI6_MOSI","","","","SPI6_MOSI","","SAI3_FS_A","","","TIM4_CH1","I2C4_SCL","I2C6_SCL","ETH1_PHY_INTN","","","","","/PA12"
"B17","AA7","PG3","I/O","SAI2_FS_B ADC1_INP3","","","LPTIM1_ETR","SPI5_MOSI","UART8_TX","SAI2_FS_B","","","TIM3_CH3","TIM8_ETR","ETH2_CLK","ETH2_PHY_INTN","","FMC_A19","LTDC_R5","DCMIPP_PIXCLK/DCMI_PIXCLK/PSSI_PDCK","/ADC1_CH3"
"B19","AA11","PF5","I/O","SPI6_SCK","","","","SPI6_SCK","","SAI3_MCLK_A","","USART6_TX","TIM4_CH3","ETH1_MDIO","ETH1_CLK","ETH2_PHY_INTN","ETH1_PHY_INTN","","LTDC_B6","","/PF5"
"B21","AC9","PC4","I/O","SPI6_MISO","","","","","SPI6_MISO","SAI3_FS_B","","","","","","ETH2_MII_TX_EN/ETH2_RGMII_TX_CTL/ETH2_RMII_TX_EN","","ETH1_RGMII_CLK125","LTDC_R0","","/PC4"
"B23","F16","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"B25","AF6","VREF-","Power","","","","","","","","","","","","","","","","","","GNDADC"
"B27","AG6","VREF+","Power","","","","","","","","","","","","","","","","","","VREF+"
