"Net Name";"Netclass";"Net Length (mm)";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Pad Count";"F.Cu (mm)";"B.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";
"/DDR/DDR_RESETN";"Default";26.9625;2;3.0900;23.8725;0.0000;3;8.0764;15.7961;0.0000;0.0000;
"/DDR/DDR_BA0";"Default";20.4613;2;3.0900;17.3713;0.0000;3;1.1508;16.2205;0.0000;0.0000;
"/DDR/DDR_A10";"Default";22.2959;2;3.0900;19.2059;0.0000;3;1.0851;18.1208;0.0000;0.0000;
"/DDR/DDR_BG0";"Default";23.4486;2;3.0900;20.3586;0.0000;3;1.0181;19.3405;0.0000;0.0000;
"/DDR/DDR_ACTN";"Default";21.6905;2;3.0900;18.6005;0.0000;3;1.1148;17.4857;0.0000;0.0000;
"/DDR/DDR_WEN";"Default";20.6143;2;3.0900;17.5243;0.0000;3;1.1346;16.3896;0.0000;0.0000;
"/DDR/DDR_ODT";"Default";25.9400;2;3.0900;22.8500;0.0000;3;1.0023;21.8478;0.0000;0.0000;
"/DDR/DDR_CKE";"Default";27.5071;2;3.0900;24.4171;0.0000;3;1.6960;22.7211;0.0000;0.0000;
"/DDR/DDR_A4";"Default";24.1356;2;3.0900;21.0456;0.0000;3;1.1826;19.8629;0.0000;0.0000;
"/DDR/DDR_A6";"Default";22.9920;2;3.0900;19.9020;0.0000;3;0.9011;19.0009;0.0000;0.0000;
"/DDR/DDR_A0";"Default";23.0122;2;3.0900;19.9222;0.0000;3;1.1359;18.7863;0.0000;0.0000;
"/DDR/DDR_A8";"Default";25.8689;2;3.0900;22.7789;0.0000;3;1.1819;21.5970;0.0000;0.0000;
"/DDR/DDR_A2";"Default";26.0022;2;3.0900;22.9122;0.0000;3;1.1022;21.8100;0.0000;0.0000;
"/DDR/DDR_CLK_N";"Default";25.4822;2;3.0900;22.3922;0.0000;3;1.1429;21.2493;0.0000;0.0000;
