"Reference","Qty","Manufacturer","Part Number","Value","Footprint","Specifications","DNP"
"X1","1","ECS","ECS-240-8-37-CKM-TR3","24MHz_8pF_2x1.6mm","4ms_Crystal:Crystal_2.0x1.6mm_4pin","24MHz 8pF Crystal Resonator, 10ppm, 2016 2x1.6mm",""
"U20","1","Diodes Incorporated","AP2411SN-7","AP2411SN","4ms_Package_QFP:DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","",""
"U18,U19","2","Toshiba","TAR5S33TE85LF","TAR5S33","4ms_Package_SOT:SOT-23-5","LDO 3.3V, Vin >= 12V, Enable, Min Iout >= 50mA",""
"U15,U16,U17","3","Diodes Inc","AP62301Z6","AP6230xZ6","4ms_Package_SOT:SOT-563","3A, 750kHz Buck DC/DC Converter, VinMax>=12V",""
"U14","1","Micron","MT41K256M16TW-107-P-V00H","DDR3L-RAM-4Gb_MT41K256M16TW","4ms_Package_QFP:FBGA-96_Layout2x3x16_Body8x14_P0.8mm","4Gbit DDR3L",""
"U13","1","ON Semiconductor","NCP51460SN33T1G","NCP51460SN33","4ms_Package_SOT:SOT23-3_PO132","Precision 3.3V Ref 1% 18PPM 28Vmax 20mAmax",""
"U5","1","Winbond","W25Q128JVSIQ","NORFLASH_W25Q128JV","4ms_Package_SOIC:SOIC-8_5.28x4.9mm_Pitch1.27mm","16Mbit QSPI NOR FLASH, 4kb uniform sectors",""
"U3","1","STMicroelectronics","USBLC6-2SC6","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","ESD Protection, pins 3+4, 1+6 shorted",""
"U2","1","STMicroelectronics","STM32MP153DAD","STM32MP15xxAD","4ms_Package_QFP:TFBGA-257_10x10mm_perP0.5_cntrP0.65","Cortex A7x2 + M4, 800MHz, TFBGA12x12",""
"S2,S3","2","C&K Switches","PTS526 SM15 SMTR2 LFS","SW_Push_PTS526 SM15 SMTR2 LFS","4ms_Switch:Button_Tact_PTS526","Tact button, NO, ",""
"R70,R71","2","Yageo","RC0402FR-071KL","1k_0402","4ms_Resistor:R_0402","1k, 1%, 1/16W, 0402",""
"R68","1","Yageo","RC0402FR-07100RL","100Ω_0402","4ms_Resistor:R_0402","100Ω, 1%, 1/16W, 0402",""
"R65","1","Yageo","RC0402FR-076K8L","6.8k_0402","4ms_Resistor:R_0402","6.8k, 1%, 1/16W, 0402",""
"R63","1","Yageo","RC0402FR-0731K6L","31.6k_0402","4ms_Resistor:R_0402","31.6k, 1%, 1/16W, 0402",""
"R62","1","Yageo","RC0402FR-0720KL","20k_0402","4ms_Resistor:R_0402","20k, 1%, 1/16W, 0402",""
"R60","1","Yageo","RC0402FR-07100KL","100k_0402","4ms_Resistor:R_0402","100k, 1%, 1/16W, 0402",""
