Designator,Mid X,Mid Y,Rotation,Layer
BOOT0_2,17.48,11.45,0.0,bottom
C102,25.1508,39.780821,270.0,top
C103,14.78424,42.284421,270.0,bottom
C106,14.1408,35.510821,90.0,top
C109,12.57426,34.160741,0.0,bottom
C12,33.38,15.96,270.0,top
C13,14.9308,17.1776,270.0,top
C14,18.53426,17.510741,90.0,top
C21,9.27,15.165,90.0,top
C24,18.9808,16.0476,0.0,top
C29,25.95,24.93,0.0,bottom
C30,19.54674,20.869681,180.0,bottom
C31,19.55436,21.885681,0.0,bottom
C32,23.4208,24.200821,90.0,bottom
C33,20.2908,19.3676,90.0,bottom
C40,25.9108,28.154821,180.0,top
C41,20.1308,12.8976,270.0,top
C42,14.1308,38.040821,90.0,top
C43,13.8708,38.290821,90.0,bottom
C44,22.6588,11.4966,180.0,top
C45,5.2708,21.0126,90.0,bottom
C46,6.7188,21.0426,270.0,bottom
C47,10.7828,34.8986,90.0,bottom
C48,35.09334,34.7756,90.0,bottom
C49,36.5158,39.5636,180.0,bottom
C50,19.73724,23.239501,0.0,bottom
C51,23.4608,21.350821,90.0,bottom
C52,21.1768,27.082821,0.0,bottom
C53,19.76264,24.509501,0.0,bottom
C54,23.9398,22.770821,0.0,bottom
C55,26.1908,42.230821,270.0,top
C56,9.8028,23.7176,180.0,bottom
C59,17.84762,23.249661,0.0,bottom
C60,21.7968,23.888821,0.0,bottom
C61,14.06288,33.272501,270.0,bottom
C62,19.79298,25.835381,0.0,bottom
C63,17.4108,21.120821,180.0,bottom
C64,26.17426,44.225741,90.0,top
C67,6.4008,33.6176,90.0,bottom
C68,30.95234,33.6376,90.0,bottom
C69,34.2358,44.3826,270.0,bottom
C70,17.8805,25.870941,0.0,bottom
C71,15.97296,26.381481,0.0,bottom
C72,2.2808,18.1376,180.0,bottom
C73,17.88036,24.514581,0.0,bottom
C74,21.1308,28.520821,180.0,bottom
C75,11.3708,23.0176,90.0,bottom
C76,25.98426,23.710741,0.0,bottom
C79,10.4948,29.3306,180.0,bottom
C80,19.0078,26.825821,180.0,bottom
C81,22.3208,46.610821,180.0,top
C82,14.1308,39.960821,270.0,top
C83,16.9608,46.620821,180.0,top
C84,2.8108,22.9676,0.0,bottom
C87,20.2008,46.770821,270.0,top
C88,11.6508,20.4376,270.0,bottom
C89,10.7578,31.6456,270.0,bottom
C90,35.08334,31.5176,270.0,bottom
C91,33.1798,39.6496,0.0,bottom
C92,14.1308,44.180821,90.0,top
C93,15.03824,33.259801,270.0,bottom
C94,19.1408,46.770821,90.0,top
C95,24.0108,32.150821,90.0,bottom
C98,25.1608,44.230821,270.0,top
C99,25.17206,42.221141,90.0,top
CON1,6.910001,48.24,180.0,bottom
D11,34.11,47.18,270.0,bottom
J1,2.7608,30.2176,0.0,bottom
J2,4.4208,13.2476,180.0,bottom
J3,36.19,24.22,270.0,bottom
J4,19.9517,3.3576,90.0,top
J5,33.1,53.39,0.0,bottom
J6,21.9517,53.3576,90.0,top
L1,8.0508,31.2476,180.0,bottom
L2,32.48434,31.0776,180.0,bottom
L3,32.2918,42.4166,270.0,bottom
R10,37.21,27.16,0.0,top
R11,36.27,21.78,0.0,top
R3,28.8908,27.0276,180.0,top
R4,32.96,25.89,180.0,top
R41,34.22,46.05,0.0,bottom
R5,32.95,26.9,0.0,top
R52,15.36844,27.875001,90.0,bottom
R59,25.1508,34.380821,90.0,top
R60,7.7968,23.6896,180.0,bottom
R61,6.0308,36.3076,0.0,bottom
R62,8.0208,35.9376,0.0,bottom
R63,32.04034,36.2776,0.0,bottom
R64,32.12134,37.3266,180.0,bottom
R65,36.6308,41.8746,270.0,bottom
R66,37.6508,41.8826,90.0,bottom
R67,25.1308,36.310821,90.0,top
R68,20.194393,38.751328,45.0,bottom
R69,14.79948,31.202401,90.0,bottom
R70,12.89426,32.600741,90.0,bottom
R71,12.57926,35.200741,180.0,bottom
R72,13.4508,18.8076,0.0,bottom
S2,28.56,3.05,0.0,bottom
S3,11.96,3.14,180.0,bottom
U13,22.8008,14.05836,0.0,top
U14,19.6404,37.8366,0.0,top
U15,8.2988,33.8556,0.0,bottom
U16,32.87084,33.7586,0.0,bottom
U17,34.8258,41.9456,90.0,bottom
U18,2.9308,20.5676,270.0,bottom
U19,9.0498,21.1556,90.0,bottom
U2,19.4608,24.8376,90.0,top
U20,26.49426,21.490741,0.0,bottom
U3,36.44,24.64,180.0,top
U5,36.69,12.95,0.0,top
X1,16.745806,17.440808,180.0,top
