Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT0_2","SW_DIP_x02_CTS_219-2MST","SW_DIP_SPSTx02_CTS_219-2MSTR",17.480000,11.450000,180.000000,bottom
"C29","2.2uF_0402_6.3V","C_0402",25.950000,24.930000,180.000000,bottom
"C30","100nF_0402_16V","C_0402",19.546740,20.869681,0.000000,bottom
"C31","1uF_0402_25V","C_0402",19.554360,21.885681,180.000000,bottom
"C32","2.2uF_0402_6.3V","C_0402",23.420800,24.200821,90.000000,bottom
"C33","1uF_0402_25V","C_0402",20.290800,19.367600,90.000000,bottom
"C43","100nF_0402_16V","C_0402",13.870800,38.290821,90.000000,bottom
"C45","1uF_0402_25V","C_0402",5.270800,21.012600,90.000000,bottom
"C46","1uF_0402_25V","C_0402",6.718800,21.042600,-90.000000,bottom
"C47","2.2uF_0603_25V","C_0603",10.782800,34.898600,90.000000,bottom
"C48","2.2uF_0603_25V","C_0603",35.093340,34.775600,90.000000,bottom
"C49","2.2uF_0603_25V","C_0603",36.515800,39.563600,0.000000,bottom
"C50","1uF_0402_25V","C_0402",19.737240,23.239501,180.000000,bottom
"C51","1uF_0402_25V","C_0402",23.460800,21.350821,90.000000,bottom
"C52","1uF_0402_25V","C_0402",21.176800,27.082821,180.000000,bottom
"C53","1uF_0402_25V","C_0402",19.762640,24.509501,180.000000,bottom
"C54","1uF_0402_25V","C_0402",23.939800,22.770821,180.000000,bottom
"C56","100nF_0402_50V","C_0402",9.802800,23.717600,0.000000,bottom
"C59","1uF_0402_25V","C_0402",17.847620,23.249661,180.000000,bottom
"C60","1uF_0402_25V","C_0402",21.796800,23.888821,180.000000,bottom
"C61","100nF_0402_16V","C_0402",14.062880,33.272501,-90.000000,bottom
"C62","1uF_0402_25V","C_0402",19.792980,25.835381,180.000000,bottom
"C63","1uF_0402_25V","C_0402",17.410800,21.120821,0.000000,bottom
"C67","100nF_0402_16V","C_0402",6.400800,33.617600,90.000000,bottom
"C68","100nF_0402_16V","C_0402",30.952340,33.637600,90.000000,bottom
"C69","100nF_0402_16V","C_0402",34.235800,44.382600,-90.000000,bottom
"C70","1uF_0402_25V","C_0402",17.880500,25.870941,180.000000,bottom
"C71","3.3nF_0402_16V","C_0402",15.972960,26.381481,180.000000,bottom
"C72","100nF_0402_50V","C_0402",2.280800,18.137600,0.000000,bottom
"C73","1uF_0402_25V","C_0402",17.880360,24.514581,180.000000,bottom
"C74","3.3nF_0402_16V","C_0402",21.130800,28.520821,0.000000,bottom
"C75","100nF_0402_50V","C_0402",11.370800,23.017600,90.000000,bottom
"C76","4.7uF_0402_6.3V","C_0402",25.984260,23.710741,180.000000,bottom
"C79","1uF_0402_25V","C_0402",10.494800,29.330600,0.000000,bottom
"C80","3.3nF_0402_16V","C_0402",19.007800,26.825821,0.000000,bottom
"C84","4.7uF_0402_6.3V","C_0402",2.810800,22.967600,180.000000,bottom
"C88","22uF_0603_6.3V","C_0603",11.650800,20.437600,-90.000000,bottom
"C89","22uF_0603_6.3V","C_0603",10.757800,31.645600,-90.000000,bottom
"C90","22uF_0603_6.3V","C_0603",35.083340,31.517600,-90.000000,bottom
"C91","22uF_0603_6.3V","C_0603",33.179800,39.649600,180.000000,bottom
"C93","100nF_0402_16V","C_0402",15.038240,33.259801,-90.000000,bottom
"C95","100nF_0402_16V","C_0402",24.010800,32.150821,90.000000,bottom
"C103","100nF_0402_16V","C_0402",14.784240,42.284421,-90.000000,bottom
"C109","1uF_0402_25V","C_0402",12.574260,34.160741,180.000000,bottom
"CON1","microSDCon_SMT_104031-0811","CardSlot_MicroSD_Molex_104031-0811",6.897501,48.302500,0.000000,bottom
"D11","BAT54LP","DFN-1006-2",34.110000,47.180000,180.000000,bottom
"J3","USB-C_Receptacle_Molex_2171790001","USB_C_Receptacle_Molex_2171790001",36.190000,24.220000,-90.000000,bottom
"J4","Pins_02x04_RightAngle_P2.54mm_TH","Pins_2x04_P2.54mm_Horizontal_CroppedSilk",2.760800,30.217600,180.000000,bottom
"J5","Conn_01x02","Pins_1x02_2.54mm_TH",33.100000,53.390000,180.000000,bottom
"J6","Pins_02x05_P1.27mm_SMT","Pins_2x05_1.27mm_SMD",4.420800,13.247600,0.000000,bottom
"L1","1uH_3.2A_2520","L_1008_2520Metric",8.050800,31.247600,0.000000,bottom
"L2","4.7uH_1.7A_2510","L_Wuerth_MAPI-2510",32.484340,31.077600,0.000000,bottom
"L3","1uH_3.2A_2520","L_1008_2520Metric",32.291800,42.416600,-90.000000,bottom
"R41","10k_0402","R_0402",34.220000,46.050000,180.000000,bottom
"R52","240Ω_0402","R_0402",15.368440,27.875001,90.000000,bottom
"R60","100k_0402","R_0402",7.796800,23.689600,0.000000,bottom
"R61","10k_0402","R_0402",6.030800,36.307600,180.000000,bottom
"R62","20k_0402","R_0402",8.020800,35.937600,180.000000,bottom
"R63","31.6k_0402","R_0402",32.040340,36.277600,180.000000,bottom
"R64","10k_0402","R_0402",32.121340,37.326600,0.000000,bottom
"R65","6.8k_0402","R_0402",36.630800,41.874600,-90.000000,bottom
"R66","10k_0402","R_0402",37.650800,41.882600,90.000000,bottom
"R68","100Ω_0402","R_0402",20.194393,38.751328,135.000000,bottom
"R69","10k_0402","R_0402",14.799480,31.202401,90.000000,bottom
"R70","1k_0402","R_0402",12.894260,32.600741,90.000000,bottom
"R71","1k_0402","R_0402",12.579260,35.200741,0.000000,bottom
"R72","10k_0402","R_0402",13.450800,18.807600,180.000000,bottom
"S2","SW_Push_PTS526 SM15 SMTR2 LFS","Button_Tact_PTS526",28.560000,3.050000,180.000000,bottom
"S3","SW_Push_PTS526 SM15 SMTR2 LFS","Button_Tact_PTS526",11.960000,3.140000,0.000000,bottom
"TP1","GND","PinHeader_1x01_P2.54mm_Vertical",34.100000,6.930000,0.000000,bottom
"U15","AP6230xZ6","SOT-563",8.298800,33.855600,180.000000,bottom
"U16","AP6230xZ6","SOT-563",32.870840,33.758600,180.000000,bottom
"U17","AP6230xZ6","SOT-563",34.825800,41.945600,90.000000,bottom
"U18","TAR5S33","SOT-23-5",2.930800,20.567600,90.000000,bottom
"U19","TAR5S33","SOT-23-5",9.049800,21.155600,-90.000000,bottom
"U20","AP2411SN","DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",26.494260,21.490741,90.000000,bottom
"C12","100nF_0402_16V","C_0402",33.380000,15.960000,-90.000000,top
"C13","6.8pF_0402_25V","C_0402",14.930800,17.177600,-90.000000,top
"C14","6.8pF_0402_25V","C_0402",18.534260,17.510741,90.000000,top
"C21","100nF_0402_16V","C_0402",9.270000,15.165000,90.000000,top
"C24","10nF_0402_16V","C_0402",18.980800,16.047600,0.000000,top
"C40","100nF_0402_16V","C_0402",25.910800,28.154821,180.000000,top
"C41","2.2uF_0603_25V","C_0603",20.130800,12.897600,-90.000000,top
"C42","100nF_0402_16V","C_0402",14.130800,38.040821,90.000000,top
