"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","PA9","I/O","UART4_TX","","","TIM1_CH2","","","I2C3_SMBA","","DFSDM1_DATIN0","USART1_TX","UART4_TX","","FMC_NWAIT","","","","",""
"A3","PE13","I/O","SPI4_MISO","","","TIM1_CH3","","","I2C5_SDA","I2S4_SDI/SPI4_MISO","","","","","","","FMC_D10/FMC_DA10","","",""
"A4","PE12","I/O","SPI4_SCK","","","TIM1_CH3N","","","","I2S4_CK/SPI4_SCK","","","UART8_DE/UART8_RTS","","","","FMC_D9/FMC_DA9","","","HDP_HDP4"
"A6","PD12","I/O","I2C1_SCL","","","LPTIM1_IN1","TIM4_CH1","","","I2C1_SCL","","USART3_DE/USART3_RTS","","","","","FMC_A17/FMC_ALE","","",""
"A7","PG0","I/O","","","","","","","","","","","","FDCAN2_TX","","","FMC_A10","","",""
"A9","PE15","I/O","","","","TIM2_ETR","TIM1_BKIN","USART2_CTS/USART2_NSS","","","I2C4_SCL","","","","","","FMC_D12/FMC_DA12","","","HDP_HDP7"
"A10","PG7","I/O","","","DEBUG_TRACED8","TIM1_ETR","","","","I2S3_SDI/SPI3_MISO","","","UART7_CTS","","SDMMC2_CKIN","","","","",""
"A12","PH13","I/O","","","DEBUG_TRACED15","","USART2_CK","TIM8_CH1N","I2C5_SCL","","I2S3_CK/SPI3_SCK","","UART4_TX","","","","","","",""
"A13","PF3","I/O","","","","","","LPTIM2_IN2","I2C5_SDA","I2S4_SDI/SPI4_MISO","I2S3_WS/SPI3_NSS","","","","","","FMC_A3","","",""
"A15","PB9","I/O","","","DEBUG_TRACED3","","TIM4_CH4","","","","I2C4_SDA","","","FDCAN1_TX","SDMMC2_D5","UART5_TX","SDMMC1_CDIR","","",""
"A16","PF0","I/O","","","DEBUG_TRACED13","","","DFSDM1_CKOUT","","","","USART3_CK","","","SDMMC2_D4","","FMC_A0","","",""
"A18","PC10","I/O","SDMMC1_D2","","DEBUG_TRACED2","","","","","I2C1_SCL","I2S3_CK/SPI3_SCK","USART3_TX","","","SAI2_MCLK_B","","SDMMC1_D2","","",""
"A19","PC12","I/O","SDMMC1_CK","","DEBUG_TRACECLK","","","","","","","","UART7_TX","","SAI2_SD_B","","SDMMC1_CK","","",""
"A20","PC9","I/O","SDMMC1_D1","","DEBUG_TRACED1","","TIM3_CH4","TIM8_CH4","","","","USART3_RTS","UART5_CTS","FDCAN1_TX","","","SDMMC1_D1","","",""
"A21","VSS","Power","","","","","","","","","","","","","","","","","",""
"B1","PD0","I/O","SAI1_MCLK_A","","","","SAI1_MCLK_A","","","","SAI1_CK1","","","FDCAN1_RX","","","FMC_D2/FMC_DA2","","",""
"B2","PE11","I/O","SAI1_FS_A","","","TIM1_CH2","USART2_CTS/USART2_NSS","","SAI1_D2","I2S4_SDO/SPI4_MOSI","SAI1_FS_A","USART6_CK","","","ETH2_TX_ER","ETH1_TX_ER","FMC_D8/FMC_DA8","","",""
"B3","PF5","I/O","","","DEBUG_TRACED12","","","","DFSDM1_CKIN0","I2C1_SMBA","","","","","","","FMC_A5","","",""
"B4","PA15","I/O","UART4_RX","","DEBUG_TRACED5","TIM2_CH1","","","","I2S4_MCK","","UART4_DE/UART4_RTS","UART4_RX","","","","FMC_A9","","","HDP_HDP5"
"B5","PD8","I/O","","","","","","USART2_TX","","I2S4_WS","","USART3_TX","UART4_RX","","","","","","",""
"B6","PE0","I/O","","","","","","","","","","","UART8_RX","FDCAN2_RX","","","FMC_A11","","",""
"B7","PE9","I/O","","","","TIM1_CH1","","","","","","","","QUADSPI_BK1_IO1","","","FMC_D6/FMC_DA6","","","HDP_HDP3"
"B8","PH14","I/O","","","","","","DFSDM1_DATIN2","I2C3_SDA","","","","UART4_RX","","","","","","",""
"B9","PE8","I/O","I2C1_SDA","","","TIM1_CH1N","","DFSDM1_CKIN2","","I2C1_SDA","","UART7_TX","","","","","FMC_D5/FMC_DA5","","",""
"B10","PG4","I/O","","","DEBUG_TRACED1","TIM1_BKIN2","","","DFSDM1_CKIN3","","","","USART3_RX","","SDMMC2_D123DIR","","FMC_A14","","","HDP_HDP1"
"B11","PF1","I/O","","","DEBUG_TRACED7","","","","I2C2_SDA","I2S3_SDO/SPI3_MOSI","","","","","","","FMC_A1","","","HDP_HDP7"
"B12","VSS","Power","","","","","","","","","","","","","","","","","",""
"B13","PB5","I/O","","","DEBUG_TRACED4","TIM17_BKIN","TIM3_CH2","","","I2S2_SDI/SPI2_MISO","I2C4_SMBA","","SDMMC1_CKIN","FDCAN2_RX","","UART5_RX","","","",""
"B14","PC6","I/O","","","DEBUG_TRACED2","","TIM3_CH1","TIM8_CH1","DFSDM1_DATIN0","I2S3_MCK","","USART6_TX","SDMMC1_D6","SDMMC2_D0DIR","SDMMC2_D6","","FMC_A19","","","HDP_HDP2"
"B15","PB15","I/O","SAI2_FS_A","","RTC_REFIN","TIM1_CH3N","TIM12_CH2","TIM8_CH3N","SAI2_D2","I2S4_SDO/SPI4_MOSI","DFSDM1_CKIN2","UART7_CTS","SDMMC1_CKIN","","SDMMC2_D1","","SAI2_FS_A","","",""
"B16","PB14","I/O","","","DEBUG_TRACED0","TIM1_CH2N","TIM12_CH1","TIM8_CH2N","USART1_TX","","","","","","SDMMC2_D0","SDMMC1_D4","","","",""
"B17","PE3","I/O","","","DEBUG_TRACED11","","SAI2_D4","","TIM15_BKIN","I2S4_SDI/SPI4_MISO","","","USART3_DE/USART3_RTS","FDCAN1_RX","SDMMC2_CK","","","","",""
"B18","PC11","I/O","SDMMC1_D3","","DEBUG_TRACED3","","","","I2C1_SDA","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_RX","","SAI2_SCK_B","","SDMMC1_D3","","",""
"B19","DDR_DQ4","MonoIO","DDR_DQ4","","","","","","","","","","","","","","","","",""
"B20","DDR_DQ1","MonoIO","DDR_DQ1","","","","","","","","","","","","","","","","",""
"B21","DDR_DQ0","MonoIO","DDR_DQ0","","","","","","","","","","","","","","","","",""
