Designator,Mid X,Mid Y,Rotation,Layer
BOOT0_2,35.6308,12.1176,90.0,bottom
C1,26.8708,23.4776,270.0,bottom
C102,27.157199,40.969934,90.0,bottom
C103,16.707993,35.435664,180.0,bottom
C106,17.049129,44.901192,270.0,bottom
C109,13.7358,41.7276,180.0,bottom
C110,20.9608,16.7426,270.0,top
C111,24.560799,16.9826,90.0,top
C12,20.5108,12.2326,270.0,bottom
C13,23.975877,28.687639,270.0,bottom
C14,5.2108,22.7176,90.0,bottom
C174,18.213707,21.677512,270.0,bottom
C175,18.2708,26.1526,90.0,bottom
C176,18.288707,24.302512,270.0,bottom
C177,18.288707,23.082512,270.0,bottom
C182,22.373707,45.712502,270.0,bottom
C183,19.153707,20.797512,0.0,bottom
C184,19.274309,25.861936,270.0,bottom
C185,19.313707,24.652512,270.0,bottom
C186,19.338707,23.202512,270.0,bottom
C187,19.338707,21.992512,90.0,bottom
C188,20.418707,24.927512,180.0,bottom
C189,20.273707,23.992512,90.0,bottom
C190,20.388707,22.852512,180.0,bottom
C191,20.713707,20.802512,180.0,bottom
C192,20.7408,44.2876,90.0,bottom
C193,21.0608,25.9076,180.0,bottom
C194,20.3258,21.9076,0.0,bottom
C195,21.343707,24.622502,270.0,bottom
C196,21.313707,23.127512,90.0,bottom
C197,21.945455,20.793101,0.0,bottom
C198,23.3208,25.6826,270.0,bottom
C199,22.3358,25.9376,180.0,bottom
C200,22.268707,24.897512,0.0,bottom
C201,21.995775,21.881046,0.0,bottom
C202,22.258707,22.837512,0.0,bottom
C203,22.213707,23.772512,90.0,bottom
C204,23.377728,26.900744,180.0,bottom
C205,23.220876,21.913214,0.0,bottom
C206,21.605829,26.81617,0.0,bottom
C207,23.2008,20.7976,180.0,bottom
C208,23.363707,24.152512,270.0,bottom
C209,23.363707,22.927502,270.0,bottom
C21,33.6208,2.1826,270.0,bottom
C211,24.313707,26.532512,90.0,bottom
C212,24.0208,25.3176,270.0,bottom
C213,24.1608,24.0776,270.0,bottom
C215,24.1908,20.7876,270.0,bottom
C24,0.8433,21.6626,90.0,bottom
C29,28.1258,24.5376,0.0,bottom
C31,24.3708,22.4776,270.0,bottom
C32,28.1758,25.7076,0.0,bottom
C33,25.6208,22.2376,270.0,bottom
C40,5.1908,19.4276,270.0,bottom
C41,19.9766,13.3202,270.0,top
C42,26.509987,36.533511,180.0,bottom
C43,16.651756,40.65471,180.0,bottom
C44,22.3808,11.5476,180.0,top
C45,33.5108,14.7326,90.0,top
C46,6.7008,21.4652,270.0,bottom
C47,10.6286,35.3212,90.0,bottom
C48,3.5428,14.8216,0.0,bottom
C49,36.3616,39.9862,180.0,bottom
C56,9.6486,24.1402,180.0,bottom
C67,6.2466,34.0402,90.0,bottom
C68,4.6808,10.6806,0.0,bottom
C69,34.0816,44.8052,270.0,bottom
C72,36.5008,11.8576,180.0,top
C75,11.4608,23.4676,90.0,bottom
C76,25.9608,24.9376,0.0,bottom
C81,27.320699,43.976262,270.0,top
C83,15.74935,44.947701,90.0,bottom
C84,35.9708,16.6876,0.0,top
C88,11.5908,20.8476,270.0,bottom
C89,10.6036,32.0682,270.0,bottom
C90,6.8008,14.8116,180.0,bottom
C91,33.0256,40.0722,0.0,bottom
C92,16.66193,41.658422,0.0,bottom
C94,24.662832,43.36565,0.0,bottom
C98,26.975415,34.226526,90.0,top
C99,28.624118,43.885202,90.0,top
CON1,6.755801,48.6626,180.0,bottom
D1,1.5683,9.3776,90.0,bottom
D11,33.9558,47.6026,270.0,bottom
D26,2.6508,21.0776,90.0,top
J1,21.7975,53.7802,90.0,top
J2,19.7975,3.7802,90.0,top
J3,36.0358,24.6426,270.0,bottom
J4,2.6066,30.6402,0.0,bottom
J5,32.9458,53.8126,0.0,bottom
J6,33.8508,34.5076,270.0,bottom
L1,7.8966,31.6702,180.0,bottom
L2,7.2408,12.2126,90.0,bottom
L3,32.1376,42.8392,270.0,bottom
L4,2.3883,19.2176,180.0,bottom
R1,3.3358,52.2676,90.0,top
R10,37.0558,27.5826,0.0,top
R11,36.1158,22.2026,0.0,top
R2,7.0208,52.6076,90.0,top
R3,28.2358,24.2776,180.0,top
R4,32.8058,26.3126,180.0,top
R5,32.7958,27.3226,0.0,top
R52,27.248707,26.822502,180.0,bottom
R59,26.534193,37.763639,0.0,bottom
R6,4.0308,9.5076,0.0,bottom
R60,7.7008,25.3476,180.0,bottom
R61,7.7708,37.4776,180.0,bottom
R62,7.8808,35.9876,0.0,bottom
R63,2.5898,10.9841,270.0,bottom
R64,1.9998,12.9941,270.0,bottom
R65,36.4766,42.2972,270.0,bottom
R66,37.4966,42.3052,90.0,bottom
R67,26.497627,38.779627,0.0,bottom
